,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
401,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
402,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
407,Maruti,Suzuki,First,86077,CNG,2013,Blue,5,32.52,3.21,3.06
425,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
428,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
429,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
432,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
457,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
458,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
461,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
484,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
485,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
490,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
510,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
511,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
512,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
518,Maruti,Suzuki,First,54674,CNG,2012,Others,5,32.52,2.79,2.8
539,Maruti,Suzuki,First,23329,CNG,2021,Orange,4,78,5.74,5.85
540,Maruti,Suzuki,Second,32530,CNG,2021,Grey,5,32.52,5.74,5.85
541,Maruti,Suzuki,First,49870,CNG,2020,White,5,30.47,5.6,5.8
