,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
665,Audi,Q3,First,76500,Diesel,2015,Grey,5,15.77,18.5,17.02
666,Maruti,Suzuki,First,47330,Diesel,2017,White,5,24.29,7.95,7.8
668,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
682,Ford,Endeavour,First,78000,Diesel,2016,White,7,10.91,26,22.01
683,Audi,A4,First,61648,Diesel,2017,Red,5,12.585,26.5,28.15
690,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
706,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
710,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
712,Toyota,Fortuner,First,8000,Diesel,2021,Black,7,14.2,47.45,46.56
714,Audi,Q7,First,66990,Diesel,2016,Black,7,14.75,40,42.71
716,Land,Rover,First,30000,Diesel,2018,White,5,12.585,1.11,1.09
720,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
728,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
738,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
739,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
740,Toyota,Innova,First,16500,Diesel,2021,Black,7,15.6,30.5,28.94
742,BMW,5,First,21000,Diesel,2017,Gold,5,22.48,42,37.07
744,Mercedes-Benz,E-Class,Second,94000,Diesel,2011,Purple,5,12.585,9.25,11.4
746,Mercedes-Benz,C-Class,First,60000,Diesel,2017,White,5,19.27,28.25,27.13
749,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
754,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
763,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
765,Renault,Duster,First,48000,Diesel,2015,Brown,5,19.01,5.6,6.56
772,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
785,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
788,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
789,Mercedes-Benz,GLE,First,27000,Diesel,2018,Blue,5,12.585,56,54.38
793,Toyota,Innova,First,16500,Diesel,2021,Black,7,15.6,30.5,28.94
797,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
810,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
814,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
815,Land,Rover,First,30000,Diesel,2019,Black,5,12.585,1.35,94.52
817,Ford,Endeavour,First,65000,Diesel,2018,White,7,10.91,30,29.43
819,Renault,Lodgy,First,36298,Diesel,2015,Brown,7,19.97999954,5.35,8.9
825,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
833,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
841,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
844,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
846,Honda,Amaze,First,49000,Diesel,2017,Red,5,25.8,5.95,6.03
852,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
859,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
868,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
869,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
871,Ford,Endeavour,First,61000,Diesel,2021,Gold,7,12.62,37,35.39
873,Toyota,Innova,First,16500,Diesel,2021,Black,7,15.6,30.5,28.94
879,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
885,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
895,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
896,Maruti,Suzuki,First,47330,Diesel,2017,White,5,24.29,7.95,7.8
902,Jaguar,XJ,Second,64000,Diesel,2012,White,5,13.53,24,24.91
903,BMW,5,First,8519,Diesel,2020,Blue,5,22.48,55,56.96
906,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
921,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
923,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
925,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
926,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
927,Land,Rover,Third,76000,Diesel,2015,White,5,12.585,42.75,47.73
930,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
931,Toyota,Fortuner,First,100000,Diesel,2017,Brown,7,12.9,29.99,28.93
932,Mercedes-Benz,GL,Second,190000,Diesel,2014,White,7,12.585,31,32
937,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
943,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
953,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
957,BMW,3,Second,41000,Diesel,2017,White,5,21.76,26.5,31.47
958,Land,Rover,First,30000,Diesel,2019,Black,5,12.585,1.35,94.52
960,Mercedes-Benz,E-Class,Second,48000,Diesel,2013,Black,5,14.2,17.5,15.9
965,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
973,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
982,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
985,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
987,Audi,Q3,First,76500,Diesel,2015,Grey,5,15.77,18.5,17.02
989,Mercedes-Benz,GLE,First,27000,Diesel,2018,Blue,5,12.585,56,54.38
992,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
996,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1010,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
1013,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
1020,Mercedes-Benz,E-Class,Second,94000,Diesel,2011,Purple,5,12.585,9.25,11.4
1021,Audi,Q3,First,76500,Diesel,2015,Grey,5,15.77,18.5,17.02
1024,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1037,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
1039,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
1041,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
1047,Mercedes-Benz,GLE,First,54000,Diesel,2017,White,5,12.585,42.75,47.73
1055,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
1071,Jeep,Meridian,First,6000,Diesel,2022,Red,7,168,38.95,37.68
1073,Mahindra,XUV500,Second,59199,Diesel,2017,White,7,16,10.75,11.11
1093,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
1096,Maruti,Suzuki,Second,84784,Diesel,2015,Others,5,23.65,5.59,6.41
1102,Renault,Duster,First,48000,Diesel,2015,Brown,5,19.01,5.6,6.56
1104,BMW,X1,First,4902,Diesel,2022,Black,5,12.585,43.5,37.9
1110,Honda,City,First,90860,Diesel,2016,Maroon,5,12.585,6.88,7.29
1118,Ford,EcoSport,Second,54120,Diesel,2017,Others,5,23,5.99,7.09
1120,Maruti,Suzuki,First,91114,Diesel,2014,Others,5,23.4,5.52,4.73
1122,Mercedes-Benz,GLE,First,27000,Diesel,2018,Blue,5,12.585,56,54.38
1123,Skoda,Octavia,First,55000,Diesel,2015,Beige,5,19.3,8.95,9.2
