,car_name,model_name,no_of_owner,KMS_Driven,fuel_type,mfg_year,colour,seating_capacity,milage,price,original_price
418,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
419,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
420,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
421,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
422,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
424,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
426,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
427,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
430,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
431,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
434,Hyundai,i20,First,13616,Petrol,2014,Others,5,18.15,4.97,4.57
436,Kia,Sonet,First,14405,Petrol,2021,Silver,5,18.2,11,9.42
439,Honda,Jazz,First,23200,Petrol,2017,Silver,5,18.7,5.65,6.85
442,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
443,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
444,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
446,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
447,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
448,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
449,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
450,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
451,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
452,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
454,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
455,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
456,Maruti,Suzuki,Second,53092,Petrol,2017,Silver,5,19.12,6.32,7.8
459,Maruti,Suzuki,First,47072,Petrol,2017,Black,5,20.5,4.76,4.37
460,Maruti,Suzuki,First,37333,Petrol,2017,White,5,20.5,4.57,4.44
465,Hyundai,Elite,First,59235,Petrol,2015,Blue,5,18.6,4.99,5.35
466,Maruti,Suzuki,First,13000,Petrol,2017,Grey,5,18.7,5.65,5.89
469,Volkswagen,Taigun,First,780,Petrol,2022,Grey,5,178,18,16.41
470,MG,Hector,First,17000,Petrol,2020,White,6,18.7,18,18.72
471,Hyundai,Creta,First,40789,Petrol,2018,White,5,15.29,10.6,11.8
472,Maruti,Suzuki,First,11736,Petrol,2018,Blue,5,22,6.35,6.52
473,Honda,Jazz,First,17847,Petrol,2019,White,5,18.7,6.8,7.75
474,Maruti,Suzuki,First,10519,Petrol,2021,Brown,5,20.52,6.8,7.75
476,Mercedes-Benz,E-Class,Second,29675,Petrol,2011,White,5,12.06,11.25,13.78
477,Audi,Q2,First,20000,Petrol,2020,White,5,188,29.25,35.38
478,Honda,City,Second,60621,Petrol,2016,Silver,5,18.7,7.07,7.31
479,Hyundai,Santro,First,2963,Petrol,2021,Blue,5,20,5.53,6.5
480,Hyundai,Verna,First,9434,Petrol,2019,Silver,5,18.7,10.37,10.58
481,Toyota,Yaris,First,19785,Petrol,2018,White,5,17.1,7.83,8.57
482,Honda,WR-V,First,11002,Petrol,2019,Grey,5,17.5,8.55,8.84
483,Honda,CR-V,Second,62577,Petrol,2015,Black,5,13.69999981,8.67,10.84
486,Tata,Altroz,First,7956,Petrol,2020,Grey,5,19.05,7.48,6.01
